downloaded,receipt,heading,detail
Mon Jul 15 16:40:08 2019,MSC1891500018,Card Was Mailed To Me,"On January 16, 2019, we mailed your new card for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number MSC1891500018, to the address you gave us.  If you do not receive your card by January 31, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
Mon Jul 15 16:40:08 2019,MSC1891500019,Card Was Delivered To Me By The Post Office,"On November 6, 2018, the Post Office delivered your new card for Receipt Number MSC1891500019, to the address that you gave us.  The tracking number assigned is 9205590153708641976250.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:08 2019,MSC1891500020,Card Was Mailed To Me,"On January 16, 2019, we mailed your new card for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number MSC1891500020, to the address you gave us.  If you do not receive your card by January 31, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
Mon Jul 15 16:40:09 2019,MSC1891500021,Card Was Delivered To Me By The Post Office,"On November 6, 2018, the Post Office delivered your new card for Receipt Number MSC1891500021, to the address that you gave us.  The tracking number assigned is 9205590153708641976656.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:09 2019,MSC1891500022,Card Was Mailed To Me,"On January 16, 2019, we mailed your new card for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number MSC1891500022, to the address you gave us.  If you do not receive your card by January 31, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
Mon Jul 15 16:40:10 2019,MSC1891500023,Card Was Delivered To Me By The Post Office,"On November 7, 2018, the Post Office delivered your new card for Receipt Number MSC1891500023, to the address that you gave us.  The tracking number assigned is 9205590153708641987942.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:10 2019,MSC1891500024,Card Was Picked Up By The United States Postal Service,"On February 26, 2019, the Post Office picked up mail containing your new card for Receipt Number MSC1891500024. We mailed your card to the address you gave us. The tracking number assigned is 9205590153708423510344. You can use your tracking number at www.USPS.com in the Quick Tools Tracking section. If you did not receive the card, please go to www.uscis.gov/e-request to request that we resend the card to you. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:11 2019,MSC1891500025,Case Was Approved,"On November 15, 2018, we approved your Form I-131, Application for Travel Document, Receipt Number MSC1891500025. We will mail your approval notice. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:11 2019,MSC1891500026,Card Was Mailed To Me,"On November 19, 2018, we mailed your new card for your Form I-765, Application for Employment Authorization, Receipt Number MSC1891500026, to the address you gave us.  If you do not receive your card by December 4, 2018, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
Mon Jul 15 16:40:12 2019,MSC1891500027,Card Was Picked Up By The United States Postal Service,"On February 26, 2019, the Post Office picked up mail containing your new card for Receipt Number MSC1891500027. We mailed your card to the address you gave us. The tracking number assigned is 9205590153708423510139. You can use your tracking number at www.USPS.com in the Quick Tools Tracking section. If you did not receive the card, please go to www.uscis.gov/e-request to request that we resend the card to you. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:12 2019,MSC1891500028,Card Was Mailed To Me,"On November 19, 2018, we mailed your new card for your Form I-765, Application for Employment Authorization, Receipt Number MSC1891500028, to the address you gave us.  If you do not receive your card by December 4, 2018, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
Mon Jul 15 16:40:13 2019,MSC1891500029,Case Was Approved,"On November 15, 2018, we approved your Form I-131, Application for Travel Document, Receipt Number MSC1891500029. We will mail your approval notice. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:13 2019,MSC1891500030,Case Rejected For Incorrect Fee And Form Not Signed,"On August 3, 2018, we rejected your Form I-131, Application for Travel Document, Receipt Number MSC1891500030, because you did not sign the form and the fee you paid was incorrect.  We mailed your case back to you, including any supporting materials and the payment.  Please follow the instructions to resubmit your case.  If you do not receive your rejected case by September 2, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:14 2019,MSC1891500031,Case Was Rejected Because It Was Improperly Filed,"On August 3, 2018, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number MSC1891500031, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you do not receive your rejected case by September 2, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address. "
Mon Jul 15 16:40:15 2019,MSC1891500032,Case Was Rejected Because It Was Improperly Filed,"On August 3, 2018, we rejected your Form I-765, Application for Employment Authorization, Receipt Number MSC1891500032, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you do not receive your rejected case by September 2, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address. "
Mon Jul 15 16:40:15 2019,MSC1891500033,Case Closed Benefit Received By Other Means,"On April 30, 2019, we closed your Form I-765, Application for Employment Authorization, Receipt Number MSC1891500033, because the applicant or petitioner received a status or benefit through other means. If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
Mon Jul 15 16:40:15 2019,MSC1891500034,Case Was Transferred And A New Office Has Jurisdiction,"On November 7, 2018, we transferred your Form I-131, Application for Travel Document, Receipt Number MSC1891500034, to another USCIS office. That office now has jurisdiction over your case. We sent you a notice that explains why we moved your case. Please follow the instructions in the notice. If you do not receive your notice by December 7, 2018, please go to www.uscis.gov/e-request to request a copy of the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:16 2019,MSC1891500035,Card Was Delivered To Me By The Post Office,"On March 13, 2019, the Post Office delivered your new card for Receipt Number MSC1891500035, to the address that you gave us.  The tracking number assigned is 9205590153708647828188.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:17 2019,MSC1891500036,Case Rejected Because I Sent An Incorrect Fee,"On August 3, 2018, we rejected your Form I-131, Application for Travel Document, Receipt Number MSC1891500036, because you sent us the incorrect fee.  We mailed your case back to you, including any supporting materials and the incorrect payment.  Please follow the instructions to resubmit your case.  If you do not receive your rejected case by September 2, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:17 2019,MSC1891500037,Case Was Rejected Because It Was Improperly Filed,"On August 3, 2018, we rejected your Form I-130, Petition for Alien Relative, Receipt Number MSC1891500037, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you do not receive your rejected case by September 2, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address. "
Mon Jul 15 16:40:18 2019,MSC1891500038,Card Was Delivered To Me By The Post Office,"On May 13, 2019, the Post Office delivered your new card for Receipt Number MSC1891500038, to the address that you gave us.  The tracking number assigned is 9205590153708650653159.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:18 2019,MSC1891500039,Case Closed Benefit Received By Other Means,"On April 6, 2019, we closed your Form I-765, Application for Employment Authorization, Receipt Number MSC1891500039, because the applicant or petitioner received a status or benefit through other means. If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
Mon Jul 15 16:40:19 2019,MSC1891500040,Case Closed Benefit Received By Other Means,"On April 9, 2019, we closed your Form I-765, Application for Employment Authorization, Receipt Number MSC1891500040, because the applicant or petitioner received a status or benefit through other means. If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
Mon Jul 15 16:40:19 2019,MSC1891500041,Advance Parole Document Was Produced,"On December 11, 2018, we produced your Advance Parole Document for your Form I-131, Application for Travel Document, Receipt Number MSC1891500041. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:20 2019,MSC1891500042,Case Closed Benefit Received By Other Means,"On April 10, 2019, we closed your Form I-765, Application for Employment Authorization, Receipt Number MSC1891500042, because the applicant or petitioner received a status or benefit through other means. If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
Mon Jul 15 16:40:20 2019,MSC1891500043,Fingerprint Fee Was Received,"On August 3, 2018, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number MSC1891500043. Our National Benefits Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:21 2019,MSC1891500044,Case Was Received,"On July 30, 2018, we received your Form I-131, Application for Travel Document, Receipt Number MSC1891500044, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 29, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:21 2019,MSC1891500045,Card Was Delivered To Me By The Post Office,"On May 18, 2019, the Post Office delivered your new card for Receipt Number MSC1891500045, to the address that you gave us.  The tracking number assigned is 9205590153708427842007.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:22 2019,MSC1891500046,Fingerprint Fee Was Received,"On August 3, 2018, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number MSC1891500046. Our National Benefits Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:22 2019,MSC1891500047,Case Was Received,"On July 30, 2018, we received your Form I-131, Application for Travel Document, Receipt Number MSC1891500047, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 29, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:23 2019,MSC1891500048,Card Was Delivered To Me By The Post Office,"On May 18, 2019, the Post Office delivered your new card for Receipt Number MSC1891500048, to the address that you gave us.  The tracking number assigned is 9205590153708427841697.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:23 2019,MSC1891500049,Fingerprint Fee Was Received,"On August 3, 2018, we accepted the fingerprint fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number MSC1891500049. Our National Benefits Center location is working on your case. We mailed you a notice describing how we will process your case. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:24 2019,MSC1891500050,Case Was Received,"On July 30, 2018, we received your Form I-131, Application for Travel Document, Receipt Number MSC1891500050, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 29, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:24 2019,MSC1891500051,Card Was Delivered To Me By The Post Office,"On May 18, 2019, the Post Office delivered your new card for Receipt Number MSC1891500051, to the address that you gave us.  The tracking number assigned is 9205590153708427841833.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:24 2019,MSC1891500052,Card Was Delivered To Me By The Post Office,"On December 24, 2018, the Post Office delivered your new card for Receipt Number MSC1891500052, to the address that you gave us.  The tracking number assigned is 9205590153708420939094.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:25 2019,MSC1891500053,Case Was Received,"On July 30, 2018, we received your Form I-131, Application for Travel Document, Receipt Number MSC1891500053, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 29, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:25 2019,MSC1891500054,Card Was Delivered To Me By The Post Office,"On October 31, 2018, the Post Office delivered your new card for Receipt Number MSC1891500054, to the address that you gave us.  The tracking number assigned is 9205590153708418706226.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:26 2019,MSC1891500055,Card Was Delivered To Me By The Post Office,"On December 24, 2018, the Post Office delivered your new card for Receipt Number MSC1891500055, to the address that you gave us.  The tracking number assigned is 9205590153708420939339.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:26 2019,MSC1891500056,Case Was Received,"On July 30, 2018, we received your Form I-131, Application for Travel Document, Receipt Number MSC1891500056, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 29, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:27 2019,MSC1891500057,Card Was Delivered To Me By The Post Office,"On October 31, 2018, the Post Office delivered your new card for Receipt Number MSC1891500057, to the address that you gave us.  The tracking number assigned is 9205590153708418707018.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:27 2019,MSC1891500058,Card Was Delivered To Me By The Post Office,"On February 11, 2019, the Post Office delivered your new card for Receipt Number MSC1891500058, to the address that you gave us.  The tracking number assigned is 9205590153708646326210.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:28 2019,MSC1891500059,Case Was Received,"On July 23, 2018, we received your Form I-131, Application for Travel Document, Receipt Number MSC1891500059, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 22, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:28 2019,MSC1891500060,Card Was Delivered To Me By The Post Office,"On December 28, 2018, the Post Office delivered your new card for Receipt Number MSC1891500060, to the address that you gave us.  The tracking number assigned is 9205590153708644177951.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:28 2019,MSC1891500061,Card Was Delivered To Me By The Post Office,"On February 11, 2019, the Post Office delivered your new card for Receipt Number MSC1891500061, to the address that you gave us.  The tracking number assigned is 9205590153708646325763.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:29 2019,MSC1891500062,Case Was Received,"On July 23, 2018, we received your Form I-131, Application for Travel Document, Receipt Number MSC1891500062, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 22, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:29 2019,MSC1891500063,Card Was Delivered To Me By The Post Office,"On December 28, 2018, the Post Office delivered your new card for Receipt Number MSC1891500063, to the address that you gave us.  The tracking number assigned is 9205590153708644177333.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:30 2019,MSC1891500064,Card Was Delivered To Me By The Post Office,"On February 11, 2019, the Post Office delivered your new card for Receipt Number MSC1891500064, to the address that you gave us.  The tracking number assigned is 9205590153708646326074.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:30 2019,MSC1891500065,Case Was Received,"On July 23, 2018, we received your Form I-131, Application for Travel Document, Receipt Number MSC1891500065, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 22, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:31 2019,MSC1891500066,Card Was Delivered To Me By The Post Office,"On December 28, 2018, the Post Office delivered your new card for Receipt Number MSC1891500066, to the address that you gave us.  The tracking number assigned is 9205590153708644177593.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:31 2019,MSC1891500067,Case Closed Benefit Received By Other Means,"On March 13, 2019, we closed your Form I-765, Application for Employment Authorization, Receipt Number MSC1891500067, because the applicant or petitioner received a status or benefit through other means. If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
Mon Jul 15 16:40:32 2019,MSC1891500068,Advance Parole Document Was Produced,"On November 15, 2018, we produced your Advance Parole Document for your Form I-131, Application for Travel Document, Receipt Number MSC1891500068. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:32 2019,MSC1891500069,Card Was Delivered To Me By The Post Office,"On May 8, 2019, the Post Office delivered your new card for Receipt Number MSC1891500069, to the address that you gave us.  The tracking number assigned is 9205590153708427173149.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:33 2019,MSC1891500070,Case Was Received,"On July 19, 2018, we received your Form I-131, Application for Travel Document, Receipt Number MSC1891500070, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 18, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:33 2019,MSC1891500071,Request for Initial Evidence Was Sent,"On June 20, 2019, we sent a request for initial evidence for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number MSC1891500071.  The request for evidence explains what we need from you.  We will not take action on your case until we receive the evidence or the deadline to submit it expires. Please follow the instructions in the request for evidence.  If you do not receive your request for evidence by July 5, 2019, please go to www.uscis.gov/e-request  to request a copy of the notice.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
Mon Jul 15 16:40:34 2019,MSC1891500072,Interview Was Completed And My Case Must Be Reviewed,"Your interview for your Form I-130, Petition for Alien Relative, Receipt Number MSC1891500072, was completed, and your case must be reviewed. We will mail you a notice if we make a decision or take further action. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:34 2019,MSC1891500073,Case Was Received,"On July 20, 2018, we received your Form I-131, Application for Travel Document, Receipt Number MSC1891500073, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by August 19, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:35 2019,MSC1891500074,Card Was Delivered To Me By The Post Office,"On December 4, 2018, the Post Office delivered your new card for Receipt Number MSC1891500074, to the address that you gave us.  The tracking number assigned is 9205590153708420084237.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:35 2019,MSC1891500075,Card Was Delivered To Me By The Post Office,"On May 1, 2019, the Post Office delivered your new card for Receipt Number MSC1891500075, to the address that you gave us.  The tracking number assigned is 9205590153708650427910.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:36 2019,MSC1891500076,Card Was Delivered To Me By The Post Office,"On May 1, 2019, the Post Office delivered your new card for Receipt Number MSC1891500076, to the address that you gave us.  The tracking number assigned is 9205590153708650427637.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:36 2019,MSC1891500077,Case Was Rejected Because It Was Improperly Filed,"On August 3, 2018, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number MSC1891500077, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you do not receive your rejected case by September 2, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address. "
